id,slug,title,url,published_at,file
515b2685-223a-4bc2-add6-76b934f5c974,alhskwz6,Iconicity,https://oecs.mit.edu/pub/alhskwz6,,alhskwz6.json
078ac821-b373-4083-af6b-b5f67210133f,hunngznm,Counterfactual Thinking,https://oecs.mit.edu/pub/hunngznm,,hunngznm.json
7a7ee600-a95d-4e45-a3ff-c2815d27ea4c,nsjk8k6v,Hearing,https://oecs.mit.edu/pub/nsjk8k6v,,nsjk8k6v.json
4ea61aa9-0cfd-43ce-805a-856b26b67be8,in0y7zea,Sound Symbolism,https://oecs.mit.edu/pub/in0y7zea,,in0y7zea.json
84963756-458a-4c3c-946f-6e7add7869a0,h6pgywr9,Interoception,https://oecs.mit.edu/pub/h6pgywr9,,h6pgywr9.json
f1b0237e-fc60-40c7-84b6-c62bc7b3525c,or750iar,Spatial Cognition,https://oecs.mit.edu/pub/or750iar,,or750iar.json
48614063-d2f8-438e-a562-ef8af1660b26,sqfksg4p,Inner Speech,https://oecs.mit.edu/pub/sqfksg4p,,sqfksg4p.json
8593aeda-8eca-4007-bdf8-353ec295786d,2pvnx08y,Personal/Subpersonal Distinction,https://oecs.mit.edu/pub/2pvnx08y,,2pvnx08y.json
788d38b2-5b36-4d06-8abb-babcbcf74d7f,iho7yj85,Foundations of Emotion,https://oecs.mit.edu/pub/iho7yj85,,iho7yj85.json
0c47da2b-9afc-4910-b2df-56a04522a729,sep9e3c2,Shared Intentionality,https://oecs.mit.edu/pub/sep9e3c2,,sep9e3c2.json
36d1ca92-5159-42f6-8fa6-ab7908b8e4e0,k2ek981x,Reinforcement Learning,https://oecs.mit.edu/pub/k2ek981x,,k2ek981x.json
5cc1206d-47f0-4643-8193-7369ea30f65a,nj8ddnjn,Multi-Representational Learning,https://oecs.mit.edu/pub/nj8ddnjn,,nj8ddnjn.json
494deacd-ed49-4708-b686-c0597537339c,e222wyjy,Compositionality,https://oecs.mit.edu/pub/e222wyjy,,e222wyjy.json
2760bd31-093d-407a-9b2d-80c8cfb6f478,rr0bjsli,Uniquely Human Cognition,https://oecs.mit.edu/pub/rr0bjsli,,rr0bjsli.json
bfd2f9b7-98f2-4c2a-a8ba-83f4a98a82a5,tuj66qxb,Mirror Neurons,https://oecs.mit.edu/pub/tuj66qxb,,tuj66qxb.json
4f342e36-0806-479e-a2db-c6cc96eebe1e,1rgtz41v,Working Memory,https://oecs.mit.edu/pub/1rgtz41v,,1rgtz41v.json
02bf2682-aca1-4234-9b7a-2f2a7a322dd3,i1om74mo,Causal Learning,https://oecs.mit.edu/pub/i1om74mo,,i1om74mo.json
fe6e37e6-042b-4e7b-8327-2f149147031f,00hsw4x2,Complex Dynamical Systems,https://oecs.mit.edu/pub/00hsw4x2,,00hsw4x2.json
79b53c0b-fc8d-4246-b4f5-0063518042a4,64sucmct,The Language of Thought Hypothesis,https://oecs.mit.edu/pub/64sucmct,,64sucmct.json
e6f9bed3-4653-434e-ba4d-2c2924454690,wax35u8s,Cognitive Penetrability,https://oecs.mit.edu/pub/wax35u8s,,wax35u8s.json
0b8879c0-25a9-4d2b-8f5a-2f27b89b3282,l3hscpvx,Motor Learning,https://oecs.mit.edu/pub/l3hscpvx,,l3hscpvx.json
63b59680-df62-4eb3-9597-a0a902d7bb56,048ldgbt,Ritual,https://oecs.mit.edu/pub/048ldgbt,,048ldgbt.json
3d8f2887-5482-4353-bbb6-9fdc9008f7e4,ydxr9tvu,Bodily Sensations,https://oecs.mit.edu/pub/ydxr9tvu,,ydxr9tvu.json
3036d218-80d9-425a-9367-9d3b0c4b9793,imt0sy0t,Action,https://oecs.mit.edu/pub/imt0sy0t,,imt0sy0t.json
83209e91-e2a9-4e53-9fcf-1ddc2e520525,2vci5sg1,Virtual Reality,https://oecs.mit.edu/pub/2vci5sg1,,2vci5sg1.json
9666c9f2-7465-416d-bec8-8a5c0a23bf13,k7xz3u08,Intuitive Theories,https://oecs.mit.edu/pub/k7xz3u08,,k7xz3u08.json
7a74eed8-8807-485d-ae13-188b418b794f,jr9encpg,Statistical Learning,https://oecs.mit.edu/pub/jr9encpg,,jr9encpg.json
fe697b8a-eb87-48c4-a221-65cd86d2c61f,g905s76x,Infant Perception,https://oecs.mit.edu/pub/g905s76x,,g905s76x.json
ff10c6af-74ab-41dc-98e2-4bd1c84cf7c2,oye8m8nz,Generative Modeling,https://oecs.mit.edu/pub/oye8m8nz,,oye8m8nz.json
f8b49c70-a648-4892-bf76-c2b0b863ef80,7mp7dfdd,Geometry,https://oecs.mit.edu/pub/7mp7dfdd,,7mp7dfdd.json
a7b4f718-9eef-4e5a-b186-ac4b4305960e,hggua2hs,Foundations of Rationality,https://oecs.mit.edu/pub/hggua2hs,,hggua2hs.json
3d4df41d-8ccf-43be-a67c-369f1050caaa,t5j0qv3d,Neuroplasticity,https://oecs.mit.edu/pub/t5j0qv3d,,t5j0qv3d.json
9a728587-7b68-4d57-bcc4-f047d8d3e790,ovf6i08h,Linguistic Universals,https://oecs.mit.edu/pub/ovf6i08h,,ovf6i08h.json
a2555670-0e39-420e-ba83-270965dced2b,3wer9d7g,Information and Misinformation,https://oecs.mit.edu/pub/3wer9d7g,,3wer9d7g.json
0fce3550-03f4-4a6b-bca3-1b08f48c3a9d,lcfp611b,Cognitive Variability,https://oecs.mit.edu/pub/lcfp611b,,lcfp611b.json
